Unnamed: 0,Simulation,Category,Object,Parameter,Data File
600,REAL_TIME,Generator,32,PMin MW,REAL_TIME_solar.csv
601,REAL_TIME,Generator,32,PMax MW,REAL_TIME_solar.csv
646,DAY_AHEAD,Generator,56,PMin MW,DAY_AHEAD_solar.csv
647,DAY_AHEAD,Generator,56,PMax MW,DAY_AHEAD_solar.csv
648,REAL_TIME,Generator,56,PMin MW,REAL_TIME_solar.csv
649,REAL_TIME,Generator,56,PMax MW,REAL_TIME_solar.csv
650,DAY_AHEAD,Generator,57,PMin MW,DAY_AHEAD_solar.csv
651,DAY_AHEAD,Generator,57,PMax MW,DAY_AHEAD_solar.csv
652,REAL_TIME,Generator,57,PMin MW,REAL_TIME_solar.csv
653,REAL_TIME,Generator,57,PMax MW,REAL_TIME_solar.csv
654,DAY_AHEAD,Generator,58,PMin MW,DAY_AHEAD_solar.csv
655,DAY_AHEAD,Generator,58,PMax MW,DAY_AHEAD_solar.csv
656,REAL_TIME,Generator,58,PMin MW,REAL_TIME_solar.csv
657,REAL_TIME,Generator,58,PMax MW,REAL_TIME_solar.csv
658,DAY_AHEAD,Generator,59,PMin MW,DAY_AHEAD_solar.csv
659,DAY_AHEAD,Generator,59,PMax MW,DAY_AHEAD_solar.csv
660,REAL_TIME,Generator,59,PMin MW,REAL_TIME_solar.csv
661,REAL_TIME,Generator,59,PMax MW,REAL_TIME_solar.csv
678,DAY_AHEAD,Generator,101,PMin MW,DAY_AHEAD_solar.csv
679,DAY_AHEAD,Generator,101,PMax MW,DAY_AHEAD_solar.csv
680,REAL_TIME,Generator,101,PMin MW,REAL_TIME_solar.csv
681,REAL_TIME,Generator,101,PMax MW,REAL_TIME_solar.csv
682,DAY_AHEAD,Generator,106,PMin MW,DAY_AHEAD_solar.csv
683,DAY_AHEAD,Generator,106,PMax MW,DAY_AHEAD_solar.csv
684,REAL_TIME,Generator,106,PMin MW,REAL_TIME_solar.csv
685,REAL_TIME,Generator,106,PMax MW,REAL_TIME_solar.csv
686,DAY_AHEAD,Generator,111,PMin MW,DAY_AHEAD_solar.csv
687,DAY_AHEAD,Generator,111,PMax MW,DAY_AHEAD_solar.csv
688,REAL_TIME,Generator,111,PMin MW,REAL_TIME_solar.csv
689,REAL_TIME,Generator,111,PMax MW,REAL_TIME_solar.csv
694,DAY_AHEAD,Generator,123,PMin MW,DAY_AHEAD_solar.csv
695,DAY_AHEAD,Generator,123,PMax MW,DAY_AHEAD_solar.csv
696,REAL_TIME,Generator,123,PMin MW,REAL_TIME_solar.csv
697,REAL_TIME,Generator,123,PMax MW,REAL_TIME_solar.csv
698,DAY_AHEAD,Generator,126,PMin MW,DAY_AHEAD_solar.csv
699,DAY_AHEAD,Generator,126,PMax MW,DAY_AHEAD_solar.csv
700,REAL_TIME,Generator,126,PMin MW,REAL_TIME_solar.csv
